word,interpretation
війна,"Стан ворожнечі між ким-небудь; суперечка, сварка з кимсь; боротьба"
двобій,"Боротьба думок, поглядів"
герць,"Боротьба думок, поглядів тощо"
єдиноборство,"Боротьба одного з кількома, з багатьма противниками"
одноборство,"Те саме, що [B]єдинобо́рство[/B]"
борошно,Продукт розмелювання хлібного зерна
мука,"Те саме, що [B]бо́рошно[/B] 1"
мливо,"Те саме, що [B]борошно[/B] 1"
меливо,Мливо
борсатися,"Робити швидкі безладні рухи руками, ногами, всім тілом"
битися,Пручатися - лежачи робити безладні рухи
шарпатися,"Робити різкі, поривчасті рухи, намагаючись вирватися, звільнитися від когось, чогось"
борт,Бокова стінка судна
лаг,Борт судна
бортпровідниця,"Працівниця авіаційного транспорту, яка супроводить пасажирський літак, стежить за порядком у ньому, обслуговує пасажирів; стюардеса"
стюардеса,"Працівниця авіаційного транспорту, що супроводить пасажирські літаки, стежить за порядком, обслуговує пасажирів і т. ін.; бортпровідниця"
босий,"Невзутий, без взуття"
босоногий,"Те саме, що [B]бо́сий[/B]"
голоногий,"Який має голі, босі ноги"
люмпен,Людина з декласованих верств населення
ботвина,Стебла і листя коренеплідних рослин
ботвиння,"Те саме, що [B]ботви́на[/B]"
гичка,"Стебло та листя перев. коренеплодів та бульбоплодів; бадилля, ботвина"
гич,Гичка (у 1 знач.)
бочка,"Велика дерев'яна або металева циліндрична посудина перев. опукла посередині, з двома плоскими днищами"
боягуз,"Дуже несмілива, боязка, ляклива людина"
страхополох,"Те саме, що [B]боягу́з[/B]"
страхопуд,"Те саме, що [B]боягу́з[/B]"
страшко,Боягуз
боязкий,Який виражає боязкість
боязливий,"Те саме, що [B]боязки́й[/B]"
боягузливий,Який виражає почуття страху
лякливий,"Який легко лякається, усього боїться"
полохливий,Який легко полохається
несміливий,"Якому властиві боязливість, соромливість, нерішучість"
несмілий,"(не впевнений у собі, у своїх силах, боязкий і нерішучий)"
малодушний,"Те саме, що [B]боязки́й[/B] 1; легкодухий"
легкодухий,"Те саме, що [B]боязки́й[/B] 1"
боярин,"Товариш молодого (жениха), який є головним розпорядником весілля; шафер"
дружба,"Товариш молодого, що бере участь у весільному обряді"
боятися,"Відчувати страх перед ким-, чим-небудь"
потерпати,"Відчувати страх перед ким-, чим-небудь; боятися"
страхатися,"Відчувати страх перед ким-, чим-небудь, боятися когось, чогось; лякатися"
страшитися,"Відчувати страх перед ким-, чим-небудь, боятися когось, чогось; лякатися"
дрижати,"Боятися кого-небудь, відчувати страх перед кимсь"
тремтіти,"Відчувати страх, боязнь перед ким-, чим-небудь, боятися, побоюватися когось, чогось"
труситися,"Відчувати страх, переляк; боятися"
трепетати,"Те саме, що [B]тремті́ти[/B]"
тріпотати,"Те саме, що [B]тремті́ти[/B] 3; дрижати (у 3 знач.)"
бравий,"Який відзначається сміливістю, енергійністю, жвавістю"
бадьористий,
хвацький,
голінний,
молодцюватий,
бравий,"Молодецький, хвацький"
молодецький,Власт. молодцеві
бадьористий,"Сповнений жвавості, молодецького завзяття"
хвацький,"Бравий, молодецький"
молодцюватий,"Який має бравий вигляд; ставний, спритний"
брак,"Нестача чогось, відсутність кого-, чого-небудь"
нестача,"Відсутність, брак чого-небудь у достатній кількості; те, чого не вистачає; недостача"
нестаток,"Те саме, що [B]неста́ча[/B]"
дефіцит,"Мала кількість, нестача чого-небудь порівняно з потребою"
скрута,"Брак, недостатня кількість чого-небудь; нестача"
голод,Гостра нестача чого-небудь украй необхідного
криза,Гостра нестача чого-небудь
сутуж,"Брак, недостатня кількість кого-, чого-небудь; нестача"
недостача,"Відсутність, брак достатньої кількості чого-небудь; нестача"
нехватка,"Відсутність достатньої кількості або повна відсутність кого-, чого-небудь; нестача"
недохват,"Те саме, що [B]недоста́ча[/B]"
недостатність,(відсутність достатньої кількості)
відсутність,"Неіснування кого-, чого-небудь; брак чого-небудь"
брак,Продукція або товар низької якості
халтура,(продукт несумлінної роботи)
бракороб,"Той, хто в роботі дає брак (див. [B]брак[BUX]2[/BUX][/B])"
халтурник,"Той, хто працює несумлінно, неакуратно, абияк"
браслет,"Прикраса з коштовного і гарного матеріалу, яку носять на зап'ясті руки"
браслетка,"Те саме, що [B]брасле́т[/B]"
зап'ястя,"Прикраса, яку носять на руці; браслет"
обручка,"Те саме, що [B]брасле́т[/B]"
бранзолета,Браслет
бранзолетка,Браслет
брати,"Вести, везти, нести з собою, забирати з собою, до себе"
забирати,"Вести, везти кого-небудь із собою, до себе"
захоплювати,"Брати, прихоплювати кого-, що-небудь з собою"
прихоплювати,"Ідучи, брати, захоплювати кого-, що-небудь з собою"
прихвачувати,"Те саме, що [B]прихо́плювати[/B]"
захвачувати,"Ідучи кудись, брати з собою кого-, що-небудь"
підхоплювати,Брати з собою як попутника
узяти,"Йдучи, їдучи куди-небудь, захопити когось або щось з собою, для себе"
взяти,"Йдучи, їдучи куди-небудь, захопити когось або щось з собою, для себе"
забрати,"повести, повезти кого-небудь із собою, до себе"
захопити,"Узяти, прихопити кого-, що-небудь з собою"
прихопити,"Ідучи, взяти, захопити кого-, що-небудь з собою"
прихватити,"Те саме, що [B]прихо́пити/B&gt;"
захватити,"Ідучи кудись, узяти  з собою кого-небудь"
брати,"Вибирати, рвати, виривати (коноплі, льон і т. ін.)"
вибирати,"Вибірково збирати урожай деяких сільськогосподарських рослин, які дозрівають неодночасно (плоскінь, льон, огірки) або які треба виймати з землі за кілька прийомів (картоплю)"
братися,"Застосовувати до кого-небудь якісь дії, картати когось, докоряти комусь і т. ін"
прийматися,Братися (у 4 знач.)
узятися,"Застосувати до кого-небудь рішучі дії, заходи"
взятися,"Застосувати до кого-небудь рішучі дії, заходи"
прийнятися,"те саме, що узятися 4"
братки,"Народна назва деяких видів фіалки, зокрема фіалки триколірної"
брат-і-сестра,"Народна назва перестріча (Melampyrum), а також фіалки триколірної (Viola tricolor) та деяких інших рослин; братки"
брести,Повільно йти
плестися,"Іти повільно, стомлено, насилу пересуваючи ноги"
плентатися,"Іти, їхати, пересуватися повільно, через силу"
плентати,"Те саме, що [B]пле́нтатися[/B]"
пхатися,"Пересуватися, йти кудись (перев. повільно)"
телепати,"Іти повільно, важко переставляючи ноги"
телепатися,"Те саме, що [B]теле́пати[/B] 1"
теліпатися,"Іти кудись повільно або довго, з труднощами"
тягти,Іти (звичайно повільно)
тягнути,Іти (звичайно повільно)
тьопати,"Іти (не швидко, повільно, по поганій дорозі або будучи дуже стомленим); плентатися"
тьопатися,Іти повільно
тюпати,"Іти повільно, через силу; плентатися"
тюпачити,"Те саме, що [B]тю́пати[/B]"
тюпашити,"Те саме, що [B]тю́пати[/B]"
човпти,"Іти в одному напрямку, важко переступаючи ногами; плентатися"
чапати,"Повільно ступати, іти не поспішаючи"
волоктися,"Іти, ходити дуже повільно (від старості, утоми і т. ін.)"
воліктися,"Іти, ходити дуже повільно (від старості, утоми і т. ін.)"
волочитися,"Іти, ходити дуже повільно (від старості, утоми і т. ін.)"
повзти,"Повільно пересуваючись, рухатися в певному напрямку"
лізти,"Іти поволі, долаючи неміч, утому"
клигати,"Важко, повільно йти"
совманитися,"Те саме, що [B]тиня́тися[/B]"
плуганити,"Повільно, мляво пересуватися (йти, їхати)"
плуганитися,"Повільно, мляво пересуватися (йти, їхати)"
тарганитися,Волочитися (у 2 знач.)
тягтися,"Повільно рухатися низкою, один за одним"
сунути,"Піти навально, великою масою, безперервним потоком"
сунутися,"Рухатися великою масою, безперервним потоком"
посуватися,"Почати навально рухатися, йти великою масою"
посувати,"Почати насуватися, громадитися у великій кількості (про хмари, туман і т. ін.)"
чвалати,"Іти повільно, важко ступати, утворюючи шум, шарудіння; брести"
чалапати,"Повільно ступати, човгаючи ногами по землі"
чалапкати,"Повільно ступати, човгаючи ногами по землі"
човгати,"Іти, ходити повільно, ледве піднімаючи ноги; плестися"
талапати,"(іти повільно, важко ступаючи, утворюючи шум)"
брести,"Переходити вбрід, перебродити (річку, струмок, болото і т. ін.)"
брьохати,"Поволі рухатися в чому-небудь рідкому, грузькому (воді, болоті, снігу і т. ін.)"
брьохатися,"Те саме, що [B]брьо́хати[/B]"
чалапати,"Видавати шум, глухі звуки з хлюпанням, ступаючи по болоті, багнистих місцях, воді, талому снігу і т. ін"
чалапкати,"Видавати шум, глухі звуки з хлюпанням, ступаючи по болоті, багнистих місцях, воді, талому снігу і т. ін"
шелепати,"Брести по воді, багні, заростях і т. ін., утворюючи глухі звуки, шум"
шелепатися,(брести з шумом)
бретелька,"Перекинені через плече стрічки з матерії або з мережива, на яких тримається жіноча сорочка, ліф і т. ін"
плічко,Стрічка або смужка тканини через плече в жіночому або дитячому платті без рукавів
брехати,Говорити неправду
обманювати,Говорити неправду
збрехати,
обманути,
обманити,
брехливий,Який завжди говорить неправду
неправдивий,"В основі якого лежить неправда, обман"
брехун,"Людина, яка завжди говорить неправду"
брехач,"Те саме, що [B]бреху́н[/B]"
брехло,"Зневажлива назва того, хто часто обманює, любить говорити неправду"
брехунець,
перебреха,"Чоловік або жінка, що завжди говорять неправду"
обманник,"Те саме, що [B]обма́нщик[/B]"
обманщик,"Той, хто обманув або обманює кого-небудь"
підбрехач,"Той, хто  допомагає брехати"
підбріхувач,"(звичайно про того, хто допомагає брехати)"
бридкий,"Дуже поганий, негарний; потворний"
препоганий,Дуже непривабливий
паскудний,"Негарний, непривабливий через зовнішні дефекти"
виродливий,"Який має фізичні вади, зовнішньо потворний (про людину, тварину, частини тіла)"
потворний,"Який має дуже непривабливе, негарне обличчя, непропорційну будову тіла, фізичні вади тощо; протилежне вродливий"
почварний,Схожий на почвару
почварливий,"(який має фізичні вади, що спотворюють зовнішність)"
брижитися,"Укриватися брижами, утворювати дрібні хвилі"
рябіти,"Укриватися брижами, дрібними хвилями (про водну поверхню)"
морщитися,Покриватися брижами (про водну поверхню)
ряботіти,Підсил. до [B]рябі́ти[/B] 2–5
побрижитися,
збрижитися,
брижі,Дрібні хвилі на злегка сколиханій поверхні води
жмури,Невеликі хвилі на поверхні води
ряботиння,Дрібні хвилі на поверхні води
бризкати,"Розлітатися, розсипатися бризками, дрібними частинками"
пирскати,"Розлітатися дрібними часточками, розсипатися бризками (про рідину, іскри і т. ін.)"
порскати,"З силою прискати, вилітати звідкись, розсипатися (про бризки, іскри, дрібні часточки чого-небудь і т. ін.)"
прискати,"Швидко розлітатися на всі боки, розсипаючись дрібними шматочками, частинками"
чвиркати,"Бризкати, просочуючись крізь що-небудь під ударами, тиском чогось (про болото, твань, кров і т. ін.)"
чвіркати,"Бризкати, просочуючись крізь що-небудь під ударами, тиском чогось (про болото, твань, кров і т. ін.)"
бризнути,"Розлетітися, розсипатися бризками, дрібними частинками"
пирснути,"Розлетітися дрібними часточками, розсипатися бризками (про рідину, іскри і т. ін.)"
порснути,"З силою вилетіти звідкись, розсипатися (про бризки, іскри, дрібні часточки чого-небудь і т. ін.)"
приснути,"Швидко розлетітися на всі боки, розсипаючись дрібними шматочками, частинками"
чвиркнути,"Бризнути, просочуючись крізь що-небудь під ударами, тиском чогось (про болото, твань, кров і т. ін.)"
чвіркнути,"Бризнути, просочуючись крізь що-небудь під ударами, тиском чогось (про болото, твань, кров і т. ін.)"
бризкати,"Викидати, розкидати, розсипати бризки рідини, іскри, дрібні частинки чого-небудь"
порскати,"Викидати, розкидати, розсипати бризки рідини, іскри, дрібні часточки і т. ін"
прискати,"Розсипати, розкидати бризки рідини; бризкати"
пирскати,Оббризкувати якою-небудь рідиною
бризнути,"розкидати, розсипати бризки рідини, іскри, дрібні частинки чого-небудь"
порснути,"Викинути, розкидати, розсипати бризки рідини, іскри, дрібні частинки чого-небудь"
приснути,"Розсипати, розкидати бризки рідини; бризнути"
пирснути,Оббризкати якою-небудь рідиною
бризкати,"Обливати дрібними краплями, бризками"
шпувати,"Обливати дрібними краплями, бризками"
сприскувати,Злегка покривати бризками
спорскувати,"Покриваючи бризками, злегка змочувати; збризкувати"
бризнути,"Облити дрібними краплями, бризками"
побризкати,"Облити, обляпати краплинами чого-небудь рідкого"
покропити,"Обдати кого-, що-небудь бризками, дрібними краплями; побризкати"
окропити,"Зволожити кого-, що-небудь по поверхні, розпорошуючи рідину на дрібні краплі; скропити, оббризкати"
сприснути,"Облити дрібними краплями, оббризкати кого-, що-небудь"
спорснути,"Покриваючи бризками, злегка змочити; оббризкати"
брикати,Бити задніми ногами
брикатися,Битися однією або обома задніми ногами (про копитних тварин)
копати,"Брикати, хвицати (про тварин)"
хвицати,"Бити однією або обома задніми ногами (про копитних тварин); брикати, вихати"
хвицатися,Битися задніми ногами (про копитних тварин)
вихати,"Брикати, бити однією або обома задніми ногами (про копитних тварин)"
вихатися,"Брикатися, битися однією або обома задніми ногами (про копитних тварин)"
фицати,"Те саме, що [B]брика́ти[/B] 1, 4; хвицати. Я сів верхи на паличку й поскакав по провулку, вдаючи, що об'їжджаю норовистого коня, тому басував, ставав цапа, фицав задом і бив копитами землю (Панч, На калин, мості, 1965, 14)"
фицкати,"Те саме, що [B]брика́ти[/B] 1, 4"
фицатися,"Те саме, що [B]брика́тися;[/B] хвицатися"
фицкатися,"Те саме, що [B]брика́тися[/B]"
вибрикувати,Раз у раз грайливо стрибати (про людей)
брикнути,"Підкинути зад і задні ноги (про копитних тварин); вихнути, хвицнути"
копнути,"Брикнути, хвицнути (про тварин)"
хвицнути,
хвицонути,"Брикнути, хвицнути (про тварин)"
вихнути,"Брикнути, вдарити однією або обома задніми ногами (про копитних тварин)"
фицнути,"те саме, що [B]брикнути[/B] 1, 4; хвицнути."
брила,"Великий безформний шматок каменю, землі, глини, льоду і т. ін"
глиба,"Те саме, що [B]бри́ла[/B]"
груда,"Затверділий, стиснутий шматок якоїсь речовини, перев. м'якої, розсипчастої, крихкої"
грудомаха,"сильно стиснутийзгусток речовини перев. м'якої, розсипчастої, крихкої"
бродити,"Поволі ходити по мілкій воді, болоту"
брьохати,"Поволі рухатися в чому-небудь рідкому, грузькому (воді, болоті, снігу і т. ін.)"
брьохатися,"Те саме, що [B]брьо́хати[/B]"
бродити,"Бути в стані, в процесі бродіння"
ферментувати,перебувати в стані ферментації
ферментуватися,перебувати в стані ферментації
шумувати,"Бути в стані, в процесі бродіння; бродити"
бродяга,"Бездомна людина, що не має постійного місця проживання, сталого заняття, роботи"
волоцюга,"Бездомна людина, яка не працює, а живе з крадіжок, жебрацтва і т. ін., постійно змінюючи місцеперебування; бродяга, пройдисвіт"
мандрьоха,"Те саме, що [B]волоцю́га[/B] 1; бродяга"
пройдисвіт,"Людина, що не має постійного місця проживання, сталого заняття, роботи і т. ін; бродяга"
приблуда,"Людина, що не має постійного місця проживання; бродяга"
блудяга,"Волоцюга, бродяга"
галайда,Бродяга
бродячий,Який не живе на одному місці або не має постійного місця проживання
бездомний,Без постійного місця проживання
мандрівний,Який постійно мандрує
кочовий,"Який кочує (про народ, плем'я тощо); мандрівний"
циганський,
бівуачний,
бівачний,
броненосець,"Потужний військовий броньований корабель, устаткований далекобійними гарматами"
панцирник,"Автомобіль, поїзд, військовий корабель, покритий панциром (у 3 знач.)"
панцерник,"Автомобіль, поїзд, військовий корабель, покритий панциром (у 3 знач.)"
бронепоїзд,"Броньований поїзд, призначений для ведення бойових дій у смузі залізниці"
панцирник,"Автомобіль, поїзд, військовий корабель, покритий панциром (у 3 знач.)"
панцерник,"Автомобіль, поїзд, військовий корабель, покритий панциром (у 3 знач.)"
бронза,"Сплав міді з оловом, алюмінієм та іншими металами"
броньований,Покритий бронею
броньовий,Покритий бронею
броненосний,Покритий бронею (в 2 знач.)
панцирний,"Покритий спеціальним, звичайно металевим, покривом"
панцерний,"Покритий спеціальним, звичайно металевим, покривом"
броньовик,"Те саме, що [B]бронеавтомобі́ль[/B]"
бронеавтомобіль,"Бойова броньована і озброєна кулеметами чи легкою гарматою автомашина, призначена для розвідки, охорони і зв'язку"
бронемашина,"Те саме, що [B]бронеавтомобі́ль[/B]"
броня,"Захисне облицювання із сталевих плит на військових кораблях, поїздах, автомобілях і т. ін"
панцир,"Металева обшивка у автомобілів, поїздів, військових кораблів; броня"
панцер,"Металева обшивка у автомобілів, поїздів, військових кораблів; броня"
бруд,"Розпуста, аморальна поведінка, нечесні вчинки і т. ін"
брудота,"Те саме, що [B]бруд[/B] 2"
нечистота,"Наявність бруду, сміття і т. ін. де-небудь"
брудний,"Покритий брудом (у 1 знач.), болотом; з брудом"
заболочений,"Який забризкався, забруднився болотом (у 2 знач.)"
закаляний,"Брудний, у грязюці, лайні і т. ін"
задрипаний,"Який задрипався, забруднив чим-небудь одяг, взуття і т. ін"
брудний,"Нечистий, замазаний, забруднений"
забруднений,зроблений брудним
замазаний,забруднений
вимазаний,забруднений
завожений,"Брудний, заяложений; нечистий"
замащений,забруднений чим-неб.
заваляний,забруднений
замурзаний,забруднений - про обличчя
зашмарований,замазаний чим-неб. - про частини тіла
мурзатий,"(те саме, що замурзанийзвичайно про людину або частини її тіла)"
чорний,"Брудний, покритий брудом, сажею, кіптявою і т. ін"
несвіжий,"Який був у вжитку, у використанні (про одяг); заношений, брудний"
заношений,"Брудний, несвіжий"
затасканий,"(про одяг, білизну і т. ін. - який був у вжитку, довгому використанні)"
заяложений,забруднений чим-небудь жирним
засмальцьований,"Який засмальцювався, став брудним"
засалений,Брудний від жиру
замацаний,з плямами від брудних рук
захватаний,(з плямами від частого хапання)
брудний,з брудом
запоганений,"зроблений поганим внвслідок засмічення, забруднення"
загиджений,"забруднений чим-небудь поганим, гидким"
запакощений,забруднений
запаскуджений,"(забруднений перев. чимось поганим, гидким)"
засмічений,покритий сміттям
брук,"Дорога або вулиця (мостова), вимощена камінням"
бруківка,"Те саме, що [B]брук[/B]"
брукувати,"Вимощувати камінням вулицю, дорогу і т. ін"
вибруковувати,"Вимощувати, викладати каменем і т. ін. дорогу"
мостити,"Суцільно вкривати камінням і т. ін. (дорогу, площу та ін.); брукувати"
вимощувати,
забрукувати,
вибрукувати,
вимостити,
брунька,"Ще не розвинений пагін рослини, зачаток квітки або стебла з листям"
бростка,Листкова або квіткова брунька
брость,Листкові або квіткові бруньки
бутон,Пуп'янок квітки
брунькувати,Викидати бруньки
брунитися,Викидати бруньки
брунькуватися,"Те саме, що [B]брунькува́ти[/B]"
бруслина,"Переважно кущова рослина, що має промислове значення: з неї добувають гутаперчу, а з деревини роблять шевські дерев'яні гвіздки"
бересклет,Бруслина
саклак,"Те саме, що [B]брусли́на[/B]"
брухт,Ламані або придатні тільки для переробки металеві предмети
металобрухт,Скорочення: металевий брухт
металолом,Скорочення: металевий лом
брюнет,"Темноволосий, чорноволосий чоловік; чорнявий"
чорнявий,"Який має чорне, темне волосся; чорноволосий; протилежне білявий"
чорноволосий,"Який має чорне волосся, з чорним волоссям; брюнет"
чорноголовий,"Який має темне, чорне волосся; чорноволосий; брюнет"
чорночубий,"Хлопець, чоловік, який має такий чуб"
брюнетка,Жін. до [B]брюне́т[/B]
чорнява,
чорнявка,"Чорнява жінка, дівчина"
чорноволоса,
чорноголова,Жінка з чорним волоссям
чорнокоса,
чорна,
бряжчати,"Ударяючись, утворювати дзвенячі звуки (про металеві, скляні предмети)"
брязкати,"Ударяючись, утворювати різкі дзвенячі звуки (про металеві, скляні предмети)"
бриньчати,Ударами по чому-небудь утворювати легкі дзвенячі звуки
брязкальце,"Брязкуча іграшка, якою бавлять дітей"
брязкало,Брязкуча дитяча іграшка
брязкотельце,"Те саме, що [B]бря́зкальце[/B]"
брязкітка,"Брязкуча іграшка, якою бавлять дітей; брязкальце"
брязкальце,"Зменш. до [B]бря́зкало[/B] 1, 2"
брязкало,"Те, що не становить ніякої цінності, є тільки пустою прикрасою"
брязкотельце,"Те саме, що [B]бря́зкальце[/B]"
брязнути,Задзвеніти з брязком
брякнути,Задзвеніти з брязком
дзвякнути,Задзвеніти з брязком
дзоркнути,Задзвеніти з брязком
бубонець,"Брязкальце, що має форму порожньої металевої кульки з шматочками металу всередині"
балабончик,Зменш. до [B]балабо́н[/B]
балабон,"Брязкальце, бубонець"
бувалий,"Про досвідчену людину, яка багато бачила, зазнала у своєму житті; бувалець"
бувалець,"Людина з великим життєвим досвідом, яка багато бачила, зазнала у своєму житті"
битий,"Бувала, досвідчена людина"
бувало,
було,
траплялося,(підкреслюється епізодичність дії)
бувальщина,"Щось дійсне, реальне; те, що справді було"
билиця,"Те, що було в дійсності; бувальщина"
буденний,"Не святковий, робочий"
будній,"Не святковий, робочий"
робочий,"Встановлений, відведений для роботи (про час)"
буденний,"Повсякденний, звичайний"
будній,"Повсякденний, звичайний"
повсякденний,"Звичайний, звичний, буденний"
розхожий,"Признач. для постійного використання, носіння; робочий, буденний"
буденний,"Позбавлений радості, яскравості; одноманітний, сірий"
прозаїчний,"Позбавлений поетичності; одноманітний, буденний, звичайний"
непоетичний,"Який не характеризується піднесеністю, незвичайністю; буденний, прозаїчний"
приземлений,"Буденний, прозаїчний, позбавлений романтичності"
безкрилий,"Позбавлений творчої сили, фантазії; знижений, буденний, сірий"
буденність,"Абстр. ім. до [B]буде́нний[/B] 2 те, що властиве всьому одноманітному, позбавленому поетичності"
буденщина,"Усе звичайне, повсякденне, посереднє, нічим не примітне"
щоденщина,"Те саме, що [B]буде́нщина[/B]"
проза,"Одноманітність, буденність; повсякденність"
прозаїчність,"Життєва одноманітність, буденність, щось сухе, звичайне, позбавлене поетичності"
прозаїзм,"Життєва одноманітність, буденність, щось сухе, звичайне, позбавлене поетичності"
будинок,"Будівля, споруда, призначена для житла"
дім,"Будівля, признач. для житла або для розміщення різних установ; будинок"
домина,Збільш. до [B]дім[/B] 1
хоромина,Великий будинок
будівля,Архітектурна споруда
будова,"Кам'яна, дерев'яна та ін. споруда для житла, господарських потреб і т. ін.; будівля"
будування,"процес створення будівлі, споруди"
спорудження,"процес створення будівлі, споруди"
споруджування,"процес створення будівлі, споруди"
зведення,"процес створення будівлі, споруди"
побудова,
побудування,(як результат цієї дії)
забудова,Спорудження будівель на якій-небудь ділянці
забудівля,"Те саме, що [B]забудо́ва[/B]"
будівництво,"Місце, де здійснюється будування, а також споруджувана будівля; установа або організація, яка будує, споруджує що-небудь"
будова,"Місце, де відбувається будівництво"
будка,Невеличке крите приміщення для собаки
буда,"Невеличке крите приміщення для собаки; будка, конура"
конура,"Те саме, що [B]бу́да[BUX]1[/BUX][/B] 3"
халабуда,"Невелике крите приміщення для собаки; конура, будка"
будова,"Розміщення, взаємне розташування частин чого-небудь; побудова, структура"
структура,Взаєморозміщення та взаємозв'язок складових частин цілого
побудова,"Розміщення, взаємне розташування частин чого-небудь; структура"
організація,Особливості будови чого-небудь
композиція,"Будова, структура, розташування та взаємний зв'язок складових частин художнього твору, картини тощо"
архітектоніка,(будова літературного твору)
стрій,"Співвідношення ступенів звукової системи за висотою; певна система звучання (музичного інструмента), що створюється співвідношенням тонів за висотою"
лад,"Спосіб побудови звукоряду, розташування звуків; тональність музичного твору"
статура,"Будова, склад тіла людини"
склад,"Будова тіла людини, тварини"
постать,Будова тіла
фігура,"Те саме, що [B]по́стать[BUX]1[/BUX][/B] 1–4"
стать,"Те саме, що [B]по́стать[BUX]1[/BUX][/B] 1"
підводити,Споруджувати які-небудь будови
піднімати,"Ставити, споруджувати будівлю"
підіймати,"Ставити, споруджувати будівлю"
підносити,"Будувати, споруджувати що-небудь"
збудувати,
побудувати,
построїти,
звести,
поставити,
вивести,
підвести,
підняти,
підійняти,
піднести,
будь-де,"У всякому місці; байдуже де; хоч де, хоч би де"
абиде,"Хоч де, у будь-якому місці"
будь-коли,"У всякий час; байдуже коли; хоч коли, хоч би коли"
абиколи,"Хоч коли, у будь-який час"
повсякчас,У будь-який момент
будь-куди,"У всяке місце; байдуже куди; хоч куди, хоч би куди"
абикуди,"Хоч куди, у будь-яке місце"
куди-будь,"У будь-яке місце, у будь-якому напрямку"
прошу,
прошу,
просимо,
будь-хто,Все одно (байдуже) хто
абихто,"Будь-хто, хто-небудь, кожний"
хто-будь,"Не має значення, байдуже хто, абихто, хто-небудь, кожний"
всякий,Який завгодно
усякий,Який завгодно
всяк,"Те саме, що [B]вся́кий[/B] 1"
усяк,"Те саме, що [B]вся́кий[/B] 1"
кожний,"Один з усіх, узятий окремо; будь-який з даного ряду; всякий"
кожен,"Один з усіх, узятий окремо; будь-який з даного ряду; всякий"
будь-що,"Все одно (байдуже) що, що завгодно"
абищо,"Байдуже що, що-небудь, будь-що"
будь-який,Все одно (байдуже) який
всякий,Будь-який
усякий,Будь-який
абиякий,"Байдуже який, перший-ліпший"
бузимок,Однорічне теля
бузівок,"Бузимок, назимок"
назимок,Однорічне теля
буйний,"Який дуже сильно розрісся; пишний, розкішний"
розбуялий,Який пишно розрісся
пишний,"З великою кількістю гілок, густим листям, буйним стеблом (про дерева, кущі, трави і т. ін.)"
розкішний,"Буйний у своєму рості, цвітінні"
дорідний,"Який виріс до значної височини, буйний, розкішний"
буква,"Письмовий знак, що позначає звук або сполучення звуків мови; літера"
літера,"Письмовий знак, що позначає звук або сполучення звуків мови; буква"
буквар,Книжка для початкового навчання грамоти
булька,"Порожниста, наповнена повітрям водяна і т. ін. кулька; пухир"
бульба,"Кулька на поверхні рідини; пухир, бульбашка"
бульбашка,Водяний або мильний пухир
пузир,"Кулька, наповнена повітрям або газом, що виникає в рідині або рідкій масі чого-небудь"
пухир,"Те саме, що [B]пузи́р[/B] 1"
